Tributary	ReachName	ReachID	Crew	Survey	Fishing	Visibility	Weather	Comments	Date	Season	Year	CohoIndividuals	SteelheadIndividuals	ChinookIndividuals	SalmonidSpIndividuals	CohoRedds	SteelheadRedds	ChinookRedds	SalmonidSpRedds
Porter Creek	POR 1	RR-POR-000.00:002.43	JB ZS	SS		99	CLEAR SUNNY	NO FISH NO NEW REDDS. DISCONECTED ~200M	4/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Purrington Creek	PUR 1	RR-PUR-000.00:004.50	VA ZR	SS		99	PARTLY CLOUDY		4/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Wine Creek	WIN 1	RR-WIN-000.00:001.65	DD SW	SS		99	CLEAR SUNNY	NO FISH NO REDDS	4/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 5	RR-PEN-013.89:017.04	DD SW	SS		99	CLEAR SUNNY	No fish No redds	4/9/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Pena Creek	PEN 1	RR-PEN-000.00:004.05	LP HF	SS		99	CLEAR SUNNY		4/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	DD RH	SS		99	CLEAR SUNNY		4/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 1	RR-GRE-007.80:012.49	ZR VA	SS		99	CLEAR SUNNY	"LAST SURVEY OF SEASON. NO NEW REDDS, NO NEW FISH."	4/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 9	RR-MAR-024.34:027.19	WB MOH	SS	1	1	OVERCAST	NO FISH NO REDDS	12/8/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 3	RR-WIL-003.49:006.15	AB VA	SS		99	WINDY	"Final survey of season, took record of all redds. 122914003 redd was misflagged in field as 120814002. 120814002 correct flag was still hung at uppermost redd on reach. "	4/14/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	AN RH	SS		99	CLEAR SUNNY	"No live fish or redds. Potential grow site. Took photos, will send to NB."	4/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
EAST AUSTIN CREEK	EAU 1	RR-EAU-000.00:002.00	WB DD	SS	1	1	PARTLY CLOUDY	NO FISH NO REDDS	12/7/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 11	RR-MAR-030.60:033.75	TC DD	SS	1	1.3	OVERCAST	No fish or redds observed	12/8/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PERENNE CREEK	DUT 1	RR-PER-000.00:000.54	NB SW	SS	1	-9999	CLEAR SUNNY	NO FISH NO REDDS LOW WATER SHORT REACH	12/15/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 3	RR-MIL-005.75:009.98	SL DD	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL1.5	RR-MIL-002.46:003.03	ZR MH	SS	1	99	CLEAR SUNNY		12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 4	RR-MIL-009.98:014.06	TC WB	SS	1	99	OVERCAST	NO FISH NO REDDS	12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WINE CREEK	WIN 1	RR-WIN-000.00:001.65	AB JP	SS	1	-9999	SHOWERS	"WINE CREEK DRY at confuence and 300+m upstream, clearly never rewetted since summer. Ended survey at schulberger property."	12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
LITTLE GREEN VALLEY CREE	GRE 1	RR-LGV-000.00:001.05	AB AJ	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PRESS CREEK	POR 3	RR-PRE-000.00:000.59	SL DD	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GREEN VALLEY CREEK	GRE 1	RR-GRE-007.80:012.49	SW AI	SS	1	1	STEADY RAIN	"NO FISH, NO REDDS"	12/24/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 2	RR-DUT-004.81:009.04	DD SL	SS	1	99	CLEAR SUNNY	NO FISH	12/28/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
SCHOOLHOUSE CREEK	GIL 1	RR-SCH-000.00:001.00	WB AI	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 9	RR-MAR-024.34:027.19	LP DD	SS	1	99	OVERCAST	NO FISH NO REDDS	12/30/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 14	RR-MAR-040.18:042.85	TC NB SW	SS	1	99	OVERCAST	NO FISH NO REDDS	12/30/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL1.5	RR-MIL-002.46:003.03	WB AI	SS	1	99	OVERCAST		1/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRAY CREEK	GRA 1	RR-GRA-000.00:001.80	SL NB	SS	1	0.6	OVERCAST	Streams crossings likely not passable at flow higher than this level.	1/8/2016 0:00	2015-2016	2016	1	0	0	0	0	0	0	0
WINE CREEK	WIN 1	RR-WIN-000.00:001.65	ZR TC	SS	1	99	OVERCAST		1/8/2016 0:00	2015-2016	2016	2	4	0	0	1	2	0	0
LITTLE GREEN VALLEY CREE	GRE 1	RR-LGV-000.00:001.05	AB NB	SS	1	99	OVERCAST	NO FISH NO REDDS	1/11/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PENA CREEK	PEN 3	RR-PEN-006.49:009.12	AJ AW	SS	1	99	PARTLY CLOUDY	NO FISH NO REDDS	1/12/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PORTER CREEK	POR 1	RR-POR-000.00:002.43	DD JD	SS	1	99	PARTLY CLOUDY	Data transcribed to Allegro from data sheets	1/12/2016 0:00	2015-2016	2016	3	0	0	0	1	0	0	0
SANTA ROSA CREEK	SAN 9	RR-SAN-028.22:029.70	SW JD	SS	1	0.5	CLEAR SUNNY	"NO FISH NO REDDS, New end of survey point on UCCE 3 labeled ""Boundary EOS?"" The track on the GPS had us going 394 meters past previous seasons end of survey 2014-15, SW called it where we took a new EOS GPS point. Needs verification regaridng upstream lan"	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PORTER CREEK	POR 1	RR-POR-000.00:002.43	AI EM	SS	1	0.8	CLEAR SUNNY	"Could not start at mouth, Russian back watered."	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 1	RR-DUT-000.00:004.81	WB AI	SS	1	99	PARTLY CLOUDY		12/28/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GRUB CREEK	DUT 2	RR-GRU-000.00:000.72	ZR MH	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/28/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PURRINGTON CREEK	PUR 1	RR-PUR-000.00:004.50	NB ZR	SS	1	99	CLEAR SUNNY	NO FISH OR REDDS BUT SOME ACTIVITY (TEST DIGS & CARCASS SMELL)	12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PENA CREEK	PEN 5	RR-PEN-013.89:017.04	JD LP	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PENA CREEK	PEN 4	RR-PEN-009.12:013.89	AJ JP	SS	1	99	CLEAR SUNNY		12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WOODS CREEK	WOO 1	RR-WOO-000.00:003.80	JD LP	SS	1	99	CLEAR SUNNY	"NO FISH NO REDDS. 1/2 of reach completed. Check ""TURNAROUND"" point on GPS."	12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
AUSTIN CREEK	AUS 5	RR-AUS-009.86:012.13	SW AI	SS	1	99	OVERCAST		12/31/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 3	RR-MIL-005.75:009.98	LP DD	SS	1	99	OVERCAST	NO FISH NO REDDS	1/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MILL CREEK	MIL 2	RR-MIL-003.03:005.75	WB AI	SS	1	99	OVERCAST		1/4/2016 0:00	2015-2016	2016	2	0	0	0	7	1	0	0
FELTA CREEK	FEL 1	RR-FEL-000.00:001.83	TC ZR	SS	1	99	OVERCAST	NO FISH NO REDDS	1/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 11	RR-MAR-030.60:033.75	MOH WB	SS	1	0.5	OVERCAST	NO FISH NO REDDS	1/11/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 12	RR-MAR-033.75:037.32	TC SW	SS	1	1	OVERCAST	NO FISH NO REDDS	1/11/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
HARRISON CREEK	GRE 2	RR-HAR-000.00:000.23	AJ DD	SS	1	99	OVERCAST	NO FISH NO REDDS	1/11/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PENA CREEK	PEN 1	RR-PEN-000.00:004.05	NB MOH	SS	1	99	OVERCAST	ALLEGRO FAIL NO DROPDOWN AND NO FISH NO REDDS	1/12/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
WILLOW CREEK	WIL 4	RR-WIL-006.15:009.16	AB JP	SS	1	99	OVERCAST	SKIN FOUND NO FISH NO REDDS	1/12/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRAPE CREEK	GRP 1	RR-GRP-000.00:001.39	WB TC	SS	1	0.5	CLEAR SUNNY	NO FISH NO REDDS	1/21/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRAPE CREEK	GRP 2	RR-GRP-001.39:002.49	WB TC	SS	1	0.5	CLEAR SUNNY	NO FISH NO REDDS	1/21/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 2	RR-DUT-004.81:009.04	AA SW	SS	1	0.5	OVERCAST	ALLEGRO FAIL	1/25/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 1	RR-DUT-000.00:004.81	ZR JD AL	SS	1	1.5	OVERCAST	Multiple test digs	1/25/2016 0:00	2015-2016	2016	0	2	0	0	0	1	0	0
GRAY CREEK	GRA 1	RR-GRA-000.00:001.80	NB DP	SS	1	0.5	OVERCAST	NO FISH NO REDDS	1/25/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MARK WEST CREEK	MAR 12	RR-MAR-033.75:037.32	ZR JD	SS	1	0.3	OVERCAST	Poor visibility due to high tannins.	12/8/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GRUB CREEK	DUT 2	RR-GRU-000.00:000.72	NB SW	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS LOW WATER EXTENTED REACH TO CULVERT	12/15/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GILLIAM CREEK	GIL 1	RR-GIL-000.00:002.32	SL DD	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/15/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PALMER CREEK	PAL 1	RR-PAL-000.00:002.75	LP JD	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
FELTA CREEK	FEL 1	RR-FEL-000.00:001.83	WB TC AI	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 5	RR-MIL-014.06:015.54	TC WB	SS	1	99	SHOWERS	NO FISH NO REDDS	12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GRAPE CREEK	GRP 2	RR-GRP-001.39:002.49	NB JD AB JP	SS	1	99	STEADY RAIN	NO FISH NO REDDS	12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WINE CREEK	WIN 1	RR-WIN-000.00:001.65	GH MO	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PORTER CREEK	POR 3	RR-POR-004.65:006.83	SL DD	SS	1	0.7	CLEAR SUNNY	NO FISH NO REDDS	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GREEN VALLEY CREEK	GRE 2	RR-GRE-012.49:016.09	AB SL	SS	1	0.9	PARTLY CLOUDY	POOR VISIBILITY. SAW DOU	12/24/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
NUTTY VALLEY CREEK	GRE 2	RR-NUT-000.00:000.94	AB SL	SS	1	1.1	PARTLY CLOUDY		12/24/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PERENNE CREEK	DUT 1	RR-PER-000.00:000.54	ZR MH	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/28/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PENA CREEK	PEN 3	RR-PEN-006.49:009.12	DD SW	SS	1	99	CLEAR SUNNY	"Allegro Fail: Allegro MX WA-1 was crashing and freezing. There was a error message: A power fault has occurred, all programs must be closed and device reset. We sis this several times and changed the battery without success. We ended up entering data back"	12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
EAST AUSTIN CREEK	EAU 1	RR-EAU-000.00:002.00	SW AI	SS	1	99	OVERCAST		12/31/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 1	RR-MIL-000.00:002.46	ZR TC	SS	1	99	OVERCAST	NO FISH NO REDDS	1/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PALMER CREEK	PAL 1	RR-PAL-000.00:002.75	MOH NB	SS	1	99	OVERCAST	NO FISH NO REDDS	1/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRAPE CREEK	GRP 1	RR-GRP-000.00:001.39	TC ZR	SS	1	1	OVERCAST	NO FISH NO REDDS	1/8/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRAPE CREEK	GRP 2	RR-GRP-001.39:002.49	ZR TC	SS	1	1	OVERCAST		1/8/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MILL CREEK	MIL 5	RR-MIL-014.06:015.54	AB JD	SS	1	0.7	OVERCAST		1/8/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PURRINGTON CREEK	PUR 1	RR-PUR-000.00:004.50	NB AB	SS	1	0.8	OVERCAST	NO FISH NO REDDS. FISH SKEIN PEICES	1/11/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
WILLOW CREEK	WIL 3	RR-WIL-003.49:006.15	AB JP	SS	1	99	PARTLY CLOUDY	NO FISH NO REDDS	1/12/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
WOODS CREEK	WOO 1	RR-WOO-000.00:003.80	TC SW	SS	1	99	OVERCAST	"ALLEGRO FAIL AND Sarah fail, we didn’t have flagging in our backpack and used medical tape for these three redd flags, we took photos as a backup but SW should be the next person to survey this reach"	1/12/2016 0:00	2015-2016	2016	0	1	2	0	0	1	1	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	BW RH	SS		99	PARTLY CLOUDY		4/13/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
AUSTIN CREEK	AUS 5	RR-AUS-009.86:012.13	WB DD	SS	1	1.5	SHOWERS	No fish or redds observed.	12/9/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WILLOW CREEK	WIL 3	RR-WIL-003.49:006.15	ZR JD SW	SS	1	99	CLEAR SUNNY	NO FISH	12/14/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 2	RR-DUT-004.81:009.04	ZR MH	SS	1	1	CLEAR SUNNY		12/15/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 1	RR-DUT-000.00:004.81	WB AI	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	12/15/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
MILL CREEK	MIL 2	RR-MIL-003.03:005.75	ZR MH	SS	1	99	CLEAR SUNNY		12/16/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GRAPE CREEK	GRP 1	RR-GRP-000.00:001.39	NB JD AB JP	SS	1	99	STEADY RAIN	NO FISH OR REDDS LOW WAT	12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
HULBERT CREEK	HUL 3	RR-HUL-005.16:007.20	DD DDP	SS	1	0.5	STEADY RAIN	VIS VARIES THROUGHOUT	12/18/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PORTER CREEK	POR 2	RR-POR-002.43:004.65	SL DD	SS	1	0.7	CLEAR SUNNY	NO FISH NO REDDS	12/23/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
HARRISON CREEK	GRE 2	RR-HAR-000.00:000.23	SL AB	SS	1	99	WINDY		12/24/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PECHACO CREEK	PEC 1	RR-PEC-000.00:002.35	AB SL	SS	1	99	CLEAR SUNNY		12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
GILLIAM CREEK	GIL 1	RR-GIL-000.00:002.32	WB AI	SS	1	99	CLEAR SUNNY		12/29/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
REDWOOD CREEK	RED 1	RR-RED-000.00:001.66	ZR AI	SS	1	99	OVERCAST	Low and clear	12/30/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
PORTER CREEK (MWC)	MPO 1	RR-MPO-000.00:002.65	DD LP	SS	1	99	OVERCAST	NO FISH NO REDDS	12/30/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
AUSTIN CREEK	AUS 6	RR-AUS-012.13:015.94	EM LP	SS	1	99	OVERCAST		12/31/2015 0:00	2015-2016	2015	0	0	0	0	0	0	0	0
WILLOW CREEK	WIL 3	RR-WIL-003.49:006.15	WB JP	SS	1	99	SHOWERS		1/3/2016 0:00	2015-2016	2016	1	0	0	0	4	1	0	4
WILLOW CREEK	WIL 4	RR-WIL-006.15:009.16	WB JP	SS	1	99	STEADY RAIN		1/3/2016 0:00	2015-2016	2016	1	0	0	0	7	3	0	4
WALLACE CREEK	WAL 2	RR-WAL-001.83:004.43	LP DD	SS	1	99	OVERCAST	NO FISH NO REDDS	1/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MILL CREEK	MIL 4	RR-MIL-009.98:014.06	AB JD	SS	1	0.7	PARTLY CLOUDY		1/8/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRAY CREEK	GRA 2	RR-GRA-001.80:003.88	AP DD	SS	1	0.7	OVERCAST	"vis is average overall, some pools and tailouts were poor vis, water milky, often difficult to see through"	1/8/2016 0:00	2015-2016	2016	2	0	0	0	0	0	0	0
GREEN VALLEY CREEK	GRE 1	RR-GRE-007.80:012.49	ZR JD	SS	1	0.6	OVERCAST	Lower NFWF STAFF 1.18           NO FISH/REDD	1/11/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GREEN VALLEY CREEK	GRE 2	RR-GRE-012.49:016.09	AJ DD	SS	1	2.5	OVERCAST	ALLEGRO FAIL: OLD REDD CHECKFILE NOT WORKING	1/11/2016 0:00	2015-2016	2016	2	0	0	0	0	0	0	2
NUTTY VALLEY CREEK	GRE 2	RR-NUT-000.00:000.94	AB NB	SS	1	1	OVERCAST	ALLEGRO FAIL  GPS NOT Returning afteer shutoff. Allegro unit W1. Female coho at top of reach.	1/11/2016 0:00	2015-2016	2016	1	0	0	0	1	0	0	0
PENA CREEK	PEN 5	RR-PEN-013.89:017.04	TC SW	SS	1	99	CLEAR SUNNY	"ALLEGRO FAIL AND Sarah fail, we didn’t have flagging in our backpack and used medical tape for these three redd flags, we took photos as a backup but SW should be the next person to survey this reach"	1/12/2016 0:00	2015-2016	2016	0	0	0	0	0	1	0	0
GRUB CREEK	DUT 2	RR-GRU-000.00:000.72	SL ZR	SS	1	0.5	SHOWERS		1/13/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
REDWOOD CREEK	RED 1	RR-RED-000.00:001.66	ZR AI	SS	1	0.6	OVERCAST	Extended Reach 1 to next tailout (~50m)	1/14/2016 0:00	2015-2016	2016	2	0	1	0	2	0	1	0
PALMER CREEK	PAL 1	RR-PAL-000.00:002.75	DP DD	SS	1	0.5	CLEAR SUNNY	NO FISH NO REDDS	1/21/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MILL CREEK	MIL 4	RR-MIL-009.98:014.06	NB MOH	SS	1	0.6	CLEAR SUNNY		1/21/2016 0:00	2015-2016	2016	0	2	0	0	0	1	0	0
GILLIAM CREEK	GIL 1	RR-GIL-000.00:002.32	SW AI NO	SS	1	7	CLEAR SUNNY	Allegro fail. 	1/21/2016 0:00	2015-2016	2016	2	2	0	0	0	1	0	0
WALLACE CREEK	WAL 2	RR-WAL-001.83:004.43	NB DP	SS	1	0.8	OVERCAST	NO FISH NO REDDS	1/25/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MILL CREEK	MIL 2	RR-MIL-003.03:005.75	WB MOH	SS	1	0.5	OVERCAST	"Flag MIL256160104R004 torn down during storm. Missed during survey, unable to see redd (age 4)"	1/25/2016 0:00	2015-2016	2016	0	2	0	1	2	1	0	1
GREEN VALLEY CREEK	GRE 1	RR-GRE-007.80:012.49	JD LP	SS	1	0.5	OVERCAST	NO FISH NO REDDS	1/26/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
SANTA ROSA CREEK	SAN 9	RR-SAN-028.22:029.70	DD MOH	SS	1	99	PARTLY CLOUDY	NO FISH NO REDDS	1/26/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
HARRISON CREEK	GRE 2	RR-HAR-000.00:000.23	SL SW	SS	1	0.5	CLEAR SUNNY		1/26/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
WILLOW CREEK	WIL 3	RR-WIL-003.49:006.15	ZR SL JR	SS	1	0.5	CLEAR SUNNY	NO FISH NO REDDS	1/27/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PENA CREEK	PEN 3	RR-PEN-006.49:009.12	AJ NO	SS	1	2	CLEAR SUNNY	"ALLEGRO FAIL. When trying to F4 out of a new redd record after entering all data, Allegro jumped to the previous redd (an old one) to the pot depth field which (instead of -9999) was blank. Moved cursor up to Redd age and then back down and all measuremen"	1/27/2016 0:00	2015-2016	2016	4	1	1	0	0	1	0	0
MARK WEST CREEK	MAR 11	RR-MAR-030.60:033.75	SL DD	SS	1	7	OVERCAST		1/28/2016 0:00	2015-2016	2016	1	0	0	0	1	0	0	0
PORTER CREEK	POR 3	RR-POR-004.65:006.83	ZR SW	SS	1	3.5	OVERCAST	No Fish No Redds SAW TWO TEST REDDS	1/28/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PORTER CREEK (MWC)	MPO 1	RR-MPO-000.00:002.65	DD LP	SS	1	0.5	STEADY RAIN	NO FISH NO REDDS	1/29/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
DUTCH BILL CREEK	DUT 1	RR-DUT-000.00:004.81	AJ MOH	SS	1	99	CLEAR SUNNY		2/1/2016 0:00	2015-2016	2016	0	0	0	0	0	1	0	0
GRAY CREEK	GRA 2	RR-GRA-001.80:003.88	WB SW	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	2/1/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRUB CREEK	DUT 2	RR-GRU-000.00:000.72	ZR JR AI	SS	1	99	CLEAR SUNNY		2/1/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
NUTTY VALLEY CREEK	GRE 2	RR-NUT-000.00:000.94	AJ JD SB	SS	1	99	OVERCAST	NUTTY	2/2/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
HARRISON CREEK	GRE 2	RR-HAR-000.00:000.23	AJ JD SB	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	2/2/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PENA CREEK	PEN 3	RR-PEN-006.49:009.12	AB JR	SS	1	99	OVERCAST		2/3/2016 0:00	2015-2016	2016	0	2	0	0	0	0	0	1
MILL CREEK	MIL 3	RR-MIL-005.75:009.98	LP BS	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	2/4/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GRUB CREEK	DUT 2	RR-GRU-000.00:000.72	AA SW	SS	1	0.5	OVERCAST	ALLEGRO FAIL	1/25/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
AUSTIN CREEK	AUS 5	RR-AUS-009.86:012.13	NB AI SB	SS	1	0.6	OVERCAST	Found partial fish skin of unidenfied species.	1/26/2016 0:00	2015-2016	2016	0	4	0	0	0	1	0	0
NUTTY VALLEY CREEK	GRE 2	RR-NUT-000.00:000.94	SW SL	SS	1	3	OVERCAST	OTTER	1/26/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
LITTLE GREEN VALLEY CREE	GRE 1	RR-LGV-000.00:001.05	JD LP	SS	1	99	OVERCAST	NO FISH NO REDDS	1/26/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
EAST AUSTIN CREEK	EAU 1	RR-EAU-000.00:002.00	NB AI SB	SS	1	1	OVERCAST	NO FISH NO REDDS	1/26/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
PECHACO CREEK	PEC 1	RR-PEC-000.00:002.35	DD LP LK	SS	1	99	CLEAR SUNNY	NO FISH NO REDDS	1/27/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
WOODS CREEK	WOO 1	RR-WOO-000.00:003.80	TC SW DA	SS	1	99	CLEAR SUNNY		1/27/2016 0:00	2015-2016	2016	0	2	0	0	0	1	0	2
WINE CREEK	WIN 1	RR-WIN-000.00:001.65	TC WB NO AAL	SS	1	1	SHOWERS		1/29/2016 0:00	2015-2016	2016	0	0	0	0	0	3	0	1
SCHOOLHOUSE CREEK	GIL 1	RR-SCH-000.00:001.00	ZR SL	SS	1	99	SHOWERS		1/29/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
MILL CREEK	MIL1.5	RR-MIL-002.46:003.03	DD LP	SS	1	99	SHOWERS	NO FISH NO REDDS	1/29/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
GREEN VALLEY CREEK	GRE 2	RR-GRE-012.49:016.09	AJ JD SB	SS	1	1	OVERCAST	NO FISH NO REDDS	2/2/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
LITTLE GREEN VALLEY CREE	GRE 1	RR-LGV-000.00:001.05	LP AI	SS	1	99	OVERCAST	NO FISH NO REDDS	2/2/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
EAST AUSTIN CREEK	EAU 1	RR-EAU-000.00:002.00	AB WB	SS	1	99	PARTLY CLOUDY	"No fish, no redds"	2/2/2016 0:00	2015-2016	2016	0	0	0	0	0	0	0	0
