Tributary,ReachName,ReachID,Crew,Survey,Year,Fishing,Visibility,Weather,Comments,Season,Date
DUTCH BILL CREEK,DUT 2,RR-DUT-004.81:009.04,ZR MH,SS,2015,1,1,CLEAR SUNNY,,2015-2016,2015-12-15
GILLIAM CREEK,GIL 1,RR-GIL-000.00:002.32,SL DD,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-15
SCHOOLHOUSE CREEK,GIL 1,RR-SCH-000.00:001.00,SL DD,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-15
MILL CREEK,MIL1.5,RR-MIL-002.46:003.03,ZR MH,SS,2015,1,99,CLEAR SUNNY,,2015-2016,2015-12-16
MILL CREEK,MIL 2,RR-MIL-003.03:005.75,ZR MH,SS,2015,1,99,CLEAR SUNNY,,2015-2016,2015-12-16
MILL CREEK,MIL 1,RR-MIL-000.00:002.46,WB TC AI,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-16
FELTA CREEK,FEL 1,RR-FEL-000.00:001.83,WB TC AI,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-16
MILL CREEK,MIL 3,RR-MIL-005.75:009.98,SL DD,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-16
WALLACE CREEK,WAL 2,RR-WAL-001.83:004.43,SL DD,SS,2015,1,99,CLEAR SUNNY,PHOTO TAKEN OF POSS REDD,2015-2016,2015-12-16
PALMER CREEK,PAL 1,RR-PAL-000.00:002.75,LP JD,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-16
WILLOW CREEK,WIL 3,RR-WIL-003.49:006.15,ZR JD SW,SS,2015,1,99,CLEAR SUNNY,NO FISH,2015-2016,2015-12-14
WILLOW CREEK,WIL 4,RR-WIL-006.15:009.16,WB AJ TC,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-14
GRAY CREEK,GRA 1,RR-GRA-000.00:001.80,ZR NB,SS,2015,1,99,OVERCAST,Fish skin seen below redd.  Smaller in size. Adipose fin intact. Silver in color. Salmonid. ,2015-2016,2015-12-17
GRAY CREEK,GRA 2,RR-GRA-001.80:003.88,TC DD,SS,2015,1,99,OVERCAST,,2015-2016,2015-12-17
LITTLE GREEN VALLEY CREE,GRE 1,RR-LGV-000.00:001.05,AB AJ,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-23
GRAPE CREEK,GRP 1,RR-GRP-000.00:001.39,NB JD AB JP,SS,2015,1,99,STEADY RAIN,NO FISH OR REDDS LOW WAT,2015-2016,2015-12-18
GRAPE CREEK,GRP 2,RR-GRP-001.39:002.49,NB JD AB JP,SS,2015,1,99,STEADY RAIN,NO FISH NO REDDS,2015-2016,2015-12-18
MILL CREEK,MIL 4,RR-MIL-009.98:014.06,TC WB,SS,2015,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2015-12-18
MILL CREEK,MIL 5,RR-MIL-014.06:015.54,TC WB,SS,2015,1,99,SHOWERS,NO FISH NO REDDS,2015-2016,2015-12-18
PORTER CREEK,POR 1,RR-POR-000.00:002.43,AI EM,SS,2015,1,0.8,CLEAR SUNNY,"Could not start at mouth, Russian back watered.",2015-2016,2015-12-23
PORTER CREEK,POR 2,RR-POR-002.43:004.65,SL DD,SS,2015,1,0.7,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-23
PRESS CREEK,POR 3,RR-PRE-000.00:000.59,SL DD,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-23
PORTER CREEK,POR 3,RR-POR-004.65:006.83,SL DD,SS,2015,1,0.7,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-23
SANTA ROSA CREEK,SAN 9,RR-SAN-028.22:029.70,SW JD,SS,2015,1,0.5,CLEAR SUNNY,"NO FISH NO REDDS, New end of survey point on UCCE 3 labeled ""Boundary EOS?"" The track on the GPS had us going 394 meters past previous seasons end of survey 2014-15, SW called it where we took a new EOS GPS point. Needs verification regaridng upstream lan",2015-2016,2015-12-23
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,AB JP,SS,2015,1,-9999,SHOWERS,"WINE CREEK DRY at confuence and 300+m upstream, clearly never rewetted since summer. Ended survey at schulberger property.",2015-2016,2015-12-18
PENA CREEK,PEN 1,RR-PEN-000.00:004.05,AB JP NB JD,SS,2015,1,99,STEADY RAIN,,2015-2016,2015-12-18
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,GH MO,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-23
DUTCH BILL CREEK,DUT 1,RR-DUT-000.00:004.81,WB AI,SS,2015,1,99,PARTLY CLOUDY,,2015-2016,2015-12-28
DUTCH BILL CREEK,DUT 2,RR-DUT-004.81:009.04,DD SL,SS,2015,1,99,CLEAR SUNNY,NO FISH,2015-2016,2015-12-28
GILLIAM CREEK,GIL 1,RR-GIL-000.00:002.32,WB AI,SS,2015,1,99,CLEAR SUNNY,,2015-2016,2015-12-29
SCHOOLHOUSE CREEK,GIL 1,RR-SCH-000.00:001.00,WB AI,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-29
GREEN VALLEY CREEK,GRE 1,RR-GRE-007.80:012.49,SW AI,SS,2015,1,1,STEADY RAIN,"NO FISH, NO REDDS",2015-2016,2015-12-24
GREEN VALLEY CREEK,GRE 2,RR-GRE-012.49:016.09,AB SL,SS,2015,1,0.9,PARTLY CLOUDY,POOR VISIBILITY. SAW DOU,2015-2016,2015-12-24
HARRISON CREEK,GRE 2,RR-HAR-000.00:000.23,SL AB,SS,2015,1,99,WINDY,,2015-2016,2015-12-24
NUTTY VALLEY CREEK,GRE 2,RR-NUT-000.00:000.94,AB SL,SS,2015,1,1.1,PARTLY CLOUDY,,2015-2016,2015-12-24
PECHACO CREEK,PEC 1,RR-PEC-000.00:002.35,AB SL,SS,2015,1,99,CLEAR SUNNY,,2015-2016,2015-12-29
PENA CREEK,PEN 3,RR-PEN-006.49:009.12,DD SW,SS,2015,1,99,CLEAR SUNNY,"Allegro Fail: Allegro MX WA-1 was crashing and freezing. There was a error message: A power fault has occurred, all programs must be closed and device reset. We sis this several times and changed the battery without success. We ended up entering data back",2015-2016,2015-12-29
PENA CREEK,PEN 4,RR-PEN-009.12:013.89,AJ JP,SS,2015,1,99,CLEAR SUNNY,,2015-2016,2015-12-29
PENA CREEK,PEN 5,RR-PEN-013.89:017.04,JD LP,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-29
WOODS CREEK,WOO 1,RR-WOO-000.00:003.80,JD LP,SS,2015,1,99,CLEAR SUNNY,"NO FISH NO REDDS. 1/2 of reach completed. Check ""TURNAROUND"" point on GPS.",2015-2016,2015-12-29
PURRINGTON CREEK,PUR 1,RR-PUR-000.00:004.50,NB ZR,SS,2015,1,99,CLEAR SUNNY,NO FISH OR REDDS BUT SOME ACTIVITY (TEST DIGS & CARCASS SMELL),2015-2016,2015-12-29
GRUB CREEK,DUT 2,RR-GRU-000.00:000.72,ZR MH,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-28
PERENNE CREEK,DUT 1,RR-PER-000.00:000.54,ZR MH,SS,2015,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2015-12-28
AUSTIN CREEK,AUS 5,RR-AUS-009.86:012.13,SW AI,SS,2015,1,99,OVERCAST,,2015-2016,2015-12-31
EAST AUSTIN CREEK,EAU 1,RR-EAU-000.00:002.00,SW AI,SS,2015,1,99,OVERCAST,,2015-2016,2015-12-31
AUSTIN CREEK,AUS 6,RR-AUS-012.13:015.94,EM LP,SS,2015,1,99,OVERCAST,,2015-2016,2015-12-31
MARK WEST CREEK,MAR 14,RR-MAR-040.18:042.85,TC NB SW,SS,2015,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2015-12-30
MARK WEST CREEK,MAR 9,RR-MAR-024.34:027.19,LP DD,SS,2015,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2015-12-30
PORTER CREEK (MWC),MPO 1,RR-MPO-000.00:002.65,DD LP,SS,2015,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2015-12-30
REDWOOD CREEK,RED 1,RR-RED-000.00:001.66,ZR AI,SS,2015,1,99,OVERCAST,Low and clear,2015-2016,2015-12-30
WILLOW CREEK,WIL 3,RR-WIL-003.49:006.15,WB JP,SS,2016,1,99,SHOWERS,,2015-2016,2016-01-03
WILLOW CREEK,WIL 4,RR-WIL-006.15:009.16,WB JP,SS,2016,1,99,STEADY RAIN,,2015-2016,2016-01-03
MILL CREEK,MIL1.5,RR-MIL-002.46:003.03,WB AI,SS,2016,1,99,OVERCAST,,2015-2016,2016-01-04
MILL CREEK,MIL 2,RR-MIL-003.03:005.75,WB AI,SS,2016,1,99,OVERCAST,,2015-2016,2016-01-04
MILL CREEK,MIL 1,RR-MIL-000.00:002.46,ZR TC,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-04
FELTA CREEK,FEL 1,RR-FEL-000.00:001.83,TC ZR,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-04
MILL CREEK,MIL 3,RR-MIL-005.75:009.98,LP DD,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-04
WALLACE CREEK,WAL 2,RR-WAL-001.83:004.43,LP DD,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-04
PALMER CREEK,PAL 1,RR-PAL-000.00:002.75,MOH NB,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-04
GRAY CREEK,GRA 1,RR-GRA-000.00:001.80,SL NB,SS,2016,1,0.6,OVERCAST,Streams crossings likely not passable at flow higher than this level.,2015-2016,2016-01-08
GRAY CREEK,GRA 2,RR-GRA-001.80:003.88,AP DD,SS,2016,1,0.7,OVERCAST,"vis is average overall, some pools and tailouts were poor vis, water milky, often difficult to see through",2015-2016,2016-01-08
GREEN VALLEY CREEK,GRE 1,RR-GRE-007.80:012.49,ZR JD,SS,2016,1,0.6,OVERCAST,Lower NFWF STAFF 1.18           NO FISH/REDD,2015-2016,2016-01-11
GREEN VALLEY CREEK,GRE 2,RR-GRE-012.49:016.09,AJ DD,SS,2016,1,2.5,OVERCAST,ALLEGRO FAIL: OLD REDD CHECKFILE NOT WORKING,2015-2016,2016-01-11
HARRISON CREEK,GRE 2,RR-HAR-000.00:000.23,AJ DD,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-11
GRAPE CREEK,GRP 1,RR-GRP-000.00:001.39,TC ZR,SS,2016,1,1,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-08
GRAPE CREEK,GRP 2,RR-GRP-001.39:002.49,ZR TC,SS,2016,1,1,OVERCAST,,2015-2016,2016-01-08
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,ZR TC,SS,2016,1,99,OVERCAST,,2015-2016,2016-01-08
MARK WEST CREEK,MAR 11,RR-MAR-030.60:033.75,MOH WB,SS,2016,1,0.5,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-11
MARK WEST CREEK,MAR 12,RR-MAR-033.75:037.32,TC SW,SS,2016,1,1,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-11
MILL CREEK,MIL 4,RR-MIL-009.98:014.06,AB JD,SS,2016,1,0.7,PARTLY CLOUDY,,2015-2016,2016-01-08
MILL CREEK,MIL 5,RR-MIL-014.06:015.54,AB JD,SS,2016,1,0.7,OVERCAST,,2015-2016,2016-01-08
PENA CREEK,PEN 1,RR-PEN-000.00:004.05,NB MOH,SS,2016,1,99,OVERCAST,ALLEGRO FAIL NO DROPDOWN AND NO FISH NO REDDS,2015-2016,2016-01-12
SANTA ROSA CREEK,SAN 9,RR-SAN-028.22:029.70,NB MOH,SS,2016,1,99,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2016-01-12
PENA CREEK,PEN 3,RR-PEN-006.49:009.12,AJ AW,SS,2016,1,99,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2016-01-12
PENA CREEK,PEN 4,RR-PEN-009.12:013.89,SL ZR,SS,2016,1,99,PARTLY CLOUDY,Resident trout and Sacramento Suckers present,2015-2016,2016-01-12
PENA CREEK,PEN 5,RR-PEN-013.89:017.04,TC SW,SS,2016,1,99,CLEAR SUNNY,"ALLEGRO FAIL AND Sarah fail, we didn’t have flagging in our backpack and used medical tape for these three redd flags, we took photos as a backup but SW should be the next person to survey this reach",2015-2016,2016-01-12
WOODS CREEK,WOO 1,RR-WOO-000.00:003.80,TC SW,SS,2016,1,99,OVERCAST,"ALLEGRO FAIL AND Sarah fail, we didn’t have flagging in our backpack and used medical tape for these three redd flags, we took photos as a backup but SW should be the next person to survey this reach",2015-2016,2016-01-12
PORTER CREEK,POR 1,RR-POR-000.00:002.43,DD JD,SS,2016,1,99,PARTLY CLOUDY,Data transcribed to Allegro from data sheets,2015-2016,2016-01-12
HULBERT CREEK,HUL 3,RR-HUL-005.16:007.20,DD JD,SS,2016,1,1.5,PARTLY CLOUDY,"NO FISH NO REDDS, Data transcribed to Allegro from data sheets",2015-2016,2016-01-12
PORTER CREEK,POR 2,RR-POR-002.43:004.65,AI WB,SS,2016,1,1.5,OVERCAST,,2015-2016,2016-01-12
PRESS CREEK,POR 3,RR-PRE-000.00:000.59,AI WB,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-12
PORTER CREEK,POR 3,RR-POR-004.65:006.83,WB AI,SS,2016,1,1.5,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-12
PURRINGTON CREEK,PUR 1,RR-PUR-000.00:004.50,NB AB,SS,2016,1,0.8,OVERCAST,NO FISH NO REDDS. FISH SKEIN PEICES,2015-2016,2016-01-11
LITTLE GREEN VALLEY CREE,GRE 1,RR-LGV-000.00:001.05,AB NB,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-11
NUTTY VALLEY CREEK,GRE 2,RR-NUT-000.00:000.94,AB NB,SS,2016,1,1,OVERCAST,ALLEGRO FAIL  GPS NOT Returning afteer shutoff. Allegro unit W1. Female coho at top of reach.,2015-2016,2016-01-11
WILLOW CREEK,WIL 3,RR-WIL-003.49:006.15,AB JP,SS,2016,1,99,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2016-01-12
WILLOW CREEK,WIL 4,RR-WIL-006.15:009.16,AB JP,SS,2016,1,99,OVERCAST,SKIN FOUND NO FISH NO REDDS,2015-2016,2016-01-12
PERENNE CREEK,DUT 1,RR-PER-000.00:000.54,DD SW,SS,2016,1,0.7,STEADY RAIN,ALLEGRO FAIL- Prior to openning the form the allegro kept freezing and not allowing us to select anything in the drop down menus in the trip form. No Fish No redds. Crew conducted survey in subreach only due to poor visibility in Dutch Bill 1. ,2015-2016,2016-01-13
GRUB CREEK,DUT 2,RR-GRU-000.00:000.72,SL ZR,SS,2016,1,0.5,SHOWERS,,2015-2016,2016-01-13
MILL CREEK,MIL 4,RR-MIL-009.98:014.06,NB MOH,SS,2016,1,0.6,CLEAR SUNNY,,2015-2016,2016-01-21
MILL CREEK,MIL 5,RR-MIL-014.06:015.54,NB MOH,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-21
PECHACO CREEK,PEC 1,RR-PEC-000.00:002.35,SL JD,SS,2016,1,0.8,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-14
REDWOOD CREEK,RED 1,RR-RED-000.00:001.66,ZR AI,SS,2016,1,0.6,OVERCAST,Extended Reach 1 to next tailout (~50m),2015-2016,2016-01-14
AUSTIN CREEK,AUS 5,RR-AUS-009.86:012.13,NB AI SB,SS,2016,1,0.6,OVERCAST,Found partial fish skin of unidenfied species.,2015-2016,2016-01-26
EAST AUSTIN CREEK,EAU 1,RR-EAU-000.00:002.00,NB AI SB,SS,2016,1,1,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-26
SANTA ROSA CREEK,SAN 9,RR-SAN-028.22:029.70,DD MOH,SS,2016,1,99,PARTLY CLOUDY,NO FISH NO REDDS,2015-2016,2016-01-26
DUTCH BILL CREEK,DUT 1,RR-DUT-000.00:004.81,ZR JD AL,SS,2016,1,1.5,OVERCAST,Multiple test digs,2015-2016,2016-01-25
PERENNE CREEK,DUT 1,RR-PER-000.00:000.54,ZR JD AL,SS,2016,1,1.5,OVERCAST,,2015-2016,2016-01-25
DUTCH BILL CREEK,DUT 2,RR-DUT-004.81:009.04,AA SW,SS,2016,1,0.5,OVERCAST,ALLEGRO FAIL,2015-2016,2016-01-25
GRUB CREEK,DUT 2,RR-GRU-000.00:000.72,AA SW,SS,2016,1,0.5,OVERCAST,ALLEGRO FAIL,2015-2016,2016-01-25
GILLIAM CREEK,GIL 1,RR-GIL-000.00:002.32,SW AI NO,SS,2016,1,7,CLEAR SUNNY,Allegro fail. ,2015-2016,2016-01-21
SCHOOLHOUSE CREEK,GIL 1,RR-SCH-000.00:001.00,SW AI NO,SS,2016,1,2,CLEAR SUNNY,No fish No redds,2015-2016,2016-01-21
GRAY CREEK,GRA 1,RR-GRA-000.00:001.80,NB DP,SS,2016,1,0.5,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-25
WALLACE CREEK,WAL 2,RR-WAL-001.83:004.43,NB DP,SS,2016,1,0.8,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-25
GRAY CREEK,GRA 2,RR-GRA-001.80:003.88,TC AI,SS,2016,1,0.5,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-25
GREEN VALLEY CREEK,GRE 1,RR-GRE-007.80:012.49,JD LP,SS,2016,1,0.5,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-26
LITTLE GREEN VALLEY CREE,GRE 1,RR-LGV-000.00:001.05,JD LP,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-26
GREEN VALLEY CREEK,GRE 2,RR-GRE-012.49:016.09,SL SW,SS,2016,1,0.8,OVERCAST,"We missed redd flag GRE154160111R002, but we are confident that it is a 4 because we saw no redd anywhere near the place it should have exisited and was most likely blown out",2015-2016,2016-01-26
NUTTY VALLEY CREEK,GRE 2,RR-NUT-000.00:000.94,SW SL,SS,2016,1,3,OVERCAST,OTTER,2015-2016,2016-01-26
HARRISON CREEK,GRE 2,RR-HAR-000.00:000.23,SL SW,SS,2016,1,0.5,CLEAR SUNNY,,2015-2016,2016-01-26
GRAPE CREEK,GRP 1,RR-GRP-000.00:001.39,WB TC,SS,2016,1,0.5,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-21
GRAPE CREEK,GRP 2,RR-GRP-001.39:002.49,WB TC,SS,2016,1,0.5,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-21
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,TC WB,SS,2016,1,0.5,CLEAR SUNNY,,2015-2016,2016-01-21
MILL CREEK,MIL 2,RR-MIL-003.03:005.75,WB MOH,SS,2016,1,0.5,OVERCAST,"Flag MIL256160104R004 torn down during storm. Missed during survey, unable to see redd (age 4)",2015-2016,2016-01-25
MILL CREEK,MIL 3,RR-MIL-005.75:009.98,DD NO JR,SS,2016,1,0.7,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-25
PALMER CREEK,PAL 1,RR-PAL-000.00:002.75,DP DD,SS,2016,1,0.5,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-21
FELTA CREEK,FEL 1,RR-FEL-000.00:001.83,DD DP,SS,2016,1,0.6,OVERCAST,,2015-2016,2016-01-21
PECHACO CREEK,PEC 1,RR-PEC-000.00:002.35,DD LP LK,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-27
PENA CREEK,PEN 1,RR-PEN-000.00:004.05,DD LP,SS,2016,1,99,CLEAR SUNNY,NO REDDS,2015-2016,2016-01-27
PENA CREEK,PEN 3,RR-PEN-006.49:009.12,AJ NO,SS,2016,1,2,CLEAR SUNNY,"ALLEGRO FAIL. When trying to F4 out of a new redd record after entering all data, Allegro jumped to the previous redd (an old one) to the pot depth field which (instead of -9999) was blank. Moved cursor up to Redd age and then back down and all measuremen",2015-2016,2016-01-27
PENA CREEK,PEN 4,RR-PEN-009.12:013.89,WB DP AL,SS,2016,1,1,CLEAR SUNNY,,2015-2016,2016-01-27
PENA CREEK,PEN 5,RR-PEN-013.89:017.04,TC SW DA,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-01-27
WOODS CREEK,WOO 1,RR-WOO-000.00:003.80,TC SW DA,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-01-27
PURRINGTON CREEK,PUR 1,RR-PUR-000.00:004.50,ZR TC,SS,2016,1,0.5,OVERCAST,,2015-2016,2016-01-26
WILLOW CREEK,WIL 3,RR-WIL-003.49:006.15,ZR SL JR,SS,2016,1,0.5,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-27
WILLOW CREEK,WIL 4,RR-WIL-006.15:009.16,JD JP,SS,2016,1,0.7,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-01-27
AUSTIN CREEK,AUS 5,RR-AUS-009.86:012.13,WB AB,SS,2016,1,99,OVERCAST,,2015-2016,2016-02-02
EAST AUSTIN CREEK,EAU 1,RR-EAU-000.00:002.00,AB WB,SS,2016,1,99,PARTLY CLOUDY,"No fish, no redds",2015-2016,2016-02-02
AUSTIN CREEK,AUS 6,RR-AUS-012.13:015.94,DD SL,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS. Encountered issue with allegro form in the field. Entered data in the office post-survey. Actual start time: 10:30 AM  and Actual end time: 12:50 PM,2015-2016,2016-02-02
DUTCH BILL CREEK,DUT 1,RR-DUT-000.00:004.81,AJ MOH,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-01
PERENNE CREEK,DUT 1,RR-PER-000.00:000.54,AJ MOH,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-01
DUTCH BILL CREEK,DUT 2,RR-DUT-004.81:009.04,ZR AI JR,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-01
GRUB CREEK,DUT 2,RR-GRU-000.00:000.72,ZR JR AI,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-01
GILLIAM CREEK,GIL 1,RR-GIL-000.00:002.32,ZR SL,SS,2016,1,1.5,STEADY RAIN,,2015-2016,2016-01-29
SCHOOLHOUSE CREEK,GIL 1,RR-SCH-000.00:001.00,ZR SL,SS,2016,1,99,SHOWERS,,2015-2016,2016-01-29
GRAY CREEK,GRA 1,RR-GRA-000.00:001.80,NB TC AL,SS,2016,1,1.3,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-01
GRAY CREEK,GRA 2,RR-GRA-001.80:003.88,WB SW,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-01
GREEN VALLEY CREEK,GRE 1,RR-GRE-007.80:012.49,LP AI,SS,2016,1,99,OVERCAST,,2015-2016,2016-02-02
LITTLE GREEN VALLEY CREE,GRE 1,RR-LGV-000.00:001.05,LP AI,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-02-02
GREEN VALLEY CREEK,GRE 2,RR-GRE-012.49:016.09,AJ JD SB,SS,2016,1,1,OVERCAST,NO FISH NO REDDS,2015-2016,2016-02-02
NUTTY VALLEY CREEK,GRE 2,RR-NUT-000.00:000.94,AJ JD SB,SS,2016,1,99,OVERCAST,NUTTY,2015-2016,2016-02-02
HARRISON CREEK,GRE 2,RR-HAR-000.00:000.23,AJ JD SB,SS,2016,1,99,CLEAR SUNNY,NO FISH NO REDDS,2015-2016,2016-02-02
GRAPE CREEK,GRP 1,RR-GRP-000.00:001.39,WB TC NO AAL,SS,2016,1,1,SHOWERS,,2015-2016,2016-01-29
GRAPE CREEK,GRP 2,RR-GRP-001.39:002.49,WB TC NO AAL,SS,2016,1,1,SHOWERS,,2015-2016,2016-01-29
WINE CREEK,WIN 1,RR-WIN-000.00:001.65,TC WB NO AAL,SS,2016,1,1,SHOWERS,,2015-2016,2016-01-29
MARK WEST CREEK,MAR 11,RR-MAR-030.60:033.75,SL DD,SS,2016,1,7,OVERCAST,,2015-2016,2016-01-28
MARK WEST CREEK,MAR 12,RR-MAR-033.75:037.32,TC LP,SS,2016,1,1.5,OVERCAST,NO FISH NO REDDS,2015-2016,2016-01-28
MARK WEST CREEK,MAR 14,RR-MAR-040.18:042.85,AI NB,SS,2016,1,0.6,PARTLY CLOUDY,,2015-2016,2016-01-28
PORTER CREEK (MWC),MPO 1,RR-MPO-000.00:002.65,DD LP,SS,2016,1,0.5,STEADY RAIN,NO FISH NO REDDS,2015-2016,2016-01-29
MILL CREEK,MIL1.5,RR-MIL-002.46:003.03,DD LP,SS,2016,1,99,SHOWERS,NO FISH NO REDDS,2015-2016,2016-01-29
MILL CREEK,MIL 1,RR-MIL-000.00:002.46,TC LP,SS,2016,1,1.5,SHOWERS,,2015-2016,2016-01-28
PORTER CREEK,POR 1,RR-POR-000.00:002.43,JD MOH,SS,2016,1,99,PARTLY CLOUDY,,2015-2016,2016-01-28
HULBERT CREEK,HUL 3,RR-HUL-005.16:007.20,MOH JD,SS,2016,1,0.7,OVERCAST,"Allegro Fail. When crew had finished Porter and went to start on Hulburt, screen was blank. Couldn't get anything but blank screen (crew did not try to reset [AJ]). Data recorded on paper and GPS points recorded on Garmin. Start and End times incorrect.",2015-2016,2016-01-28
PORTER CREEK,POR 2,RR-POR-002.43:004.65,ZR SW,SS,2016,1,3,CLEAR SUNNY,,2015-2016,2016-01-28
PRESS CREEK,POR 3,RR-PRE-000.00:000.59,ZR SW,SS,2016,1,99,OVERCAST,No Fish No Redds,2015-2016,2016-01-28
PORTER CREEK,POR 3,RR-POR-004.65:006.83,ZR SW,SS,2016,1,3.5,OVERCAST,No Fish No Redds SAW TWO TEST REDDS,2015-2016,2016-01-28
PURRINGTON CREEK,PUR 1,RR-PUR-000.00:004.50,TC SW,SS,2016,1,1.5,OVERCAST,,2015-2016,2016-02-02
REDWOOD CREEK,RED 1,RR-RED-000.00:001.66,AB JD DP,SS,2016,1,99,OVERCAST,"START TIME IS INCORRECT BECAUSE OPENED TRIP TABLE AT OFFICE TO CHECK GPS. START TIME WAS ABOUT 10AM. (Done, AJ)",2015-2016,2016-01-29
MARK WEST CREEK,MAR 14,RR-MAR-040.18:042.85,DD AL ES,SS,2016,1,1.5,PARTLY CLOUDY,,2015-2016,2016-02-03
SANTA ROSA CREEK,SAN 9,RR-SAN-028.22:029.70,DD ES AL,SS,2016,1,99,OVERCAST,NO FISH NO REDDS,2015-2016,2016-02-03
PENA CREEK,PEN 1,RR-PEN-000.00:004.05,ZR SL,SS,2016,1,99,CLEAR SUNNY,,2015-2016,2016-02-03
PECHACO CREEK,PEC 1,RR-PEC-000.00:002.35,ZR SL,SS,2016,1,99,OVERCAST,,2015-2016,2016-02-03
PENA CREEK,PEN 3,RR-PEN-006.49:009.12,AB JR,SS,2016,1,99,OVERCAST,,2015-2016,2016-02-03
PENA CREEK,PEN 4,RR-PEN-009.12:013.89,TC JD,SS,2016,1,99,PARTLY CLOUDY,,2015-2016,2016-02-03
PENA CREEK,PEN 5,RR-PEN-013.89:017.04,LP AI,SS,2016,1,99,OVERCAST,NO FISH,2015-2016,2016-02-03
